,seed,k_shot,category,image_score
0,42,1,breakfast_box,0.7747747302055359
1,42,2,breakfast_box,0.7747747302055359
2,42,4,breakfast_box,0.7747747302055359
3,42,8,breakfast_box,0.7747747302055359
4,0,1,breakfast_box,0.7723214030265808
5,0,2,breakfast_box,0.7723214030265808
6,0,4,breakfast_box,0.7723214030265808
7,0,8,breakfast_box,0.7723214030265808
8,1234,1,breakfast_box,0.7723214030265808
9,1234,2,breakfast_box,0.7723214030265808
10,1234,4,breakfast_box,0.7723214030265808
11,1234,8,breakfast_box,0.7723214030265808
12,42,1,juice_bottle,0.8487085103988647
13,42,2,juice_bottle,0.8487085103988647
14,42,4,juice_bottle,0.8487085103988647
15,42,8,juice_bottle,0.8487085103988647
16,0,1,juice_bottle,0.8396396040916443
17,0,2,juice_bottle,0.8396396040916443
18,0,4,juice_bottle,0.8396396040916443
19,0,8,juice_bottle,0.8396396040916443
20,1234,1,juice_bottle,0.8529411554336548
21,1234,2,juice_bottle,0.8529411554336548
22,1234,4,juice_bottle,0.8529411554336548
23,1234,8,juice_bottle,0.8529411554336548
24,42,1,pushpins,0.7218683958053589
25,42,2,pushpins,0.7218683958053589
26,42,4,pushpins,0.7218683958053589
27,42,8,pushpins,0.7218683958053589
28,0,1,pushpins,0.7161016464233398
29,0,2,pushpins,0.7161016464233398
30,0,4,pushpins,0.7161016464233398
31,0,8,pushpins,0.7161016464233398
32,1234,1,pushpins,0.7191489934921265
33,1234,2,pushpins,0.7191489934921265
34,1234,4,pushpins,0.7191489934921265
35,1234,8,pushpins,0.7191489934921265
36,42,1,screw_bag,0.7835420966148376
37,42,2,screw_bag,0.7835420966148376
38,42,4,screw_bag,0.7835420966148376
39,42,8,screw_bag,0.7835420966148376
40,0,1,screw_bag,0.7841726541519165
41,0,2,screw_bag,0.7841726541519165
42,0,4,screw_bag,0.7841726541519165
43,0,8,screw_bag,0.7841726541519165
44,1234,1,screw_bag,0.7821428179740906
45,1234,2,screw_bag,0.7821428179740906
46,1234,4,screw_bag,0.7821428179740906
47,1234,8,screw_bag,0.7821428179740906
48,42,1,splicing_connectors,0.7670682668685913
49,42,2,splicing_connectors,0.7670682668685913
50,42,4,splicing_connectors,0.7670682668685913
51,42,8,splicing_connectors,0.7670682668685913
52,0,1,splicing_connectors,0.7670682668685913
53,0,2,splicing_connectors,0.7670682668685913
54,0,4,splicing_connectors,0.7670682668685913
55,0,8,splicing_connectors,0.7670682668685913
56,1234,1,splicing_connectors,0.7643564343452454
57,1234,2,splicing_connectors,0.7643564343452454
58,1234,4,splicing_connectors,0.7643564343452454
59,1234,8,splicing_connectors,0.7643564343452454
